,Open,High,Low,Close,Volume_BTC
1.66458E+12,19424.6,19424.6,19411.49,19413.75,43.16287
1.66458E+12,19413.27,19421.96,19407.48,19421.24,66.14776
1.66458E+12,19420.42,19423.97,19416,19417.27,51.11149
1.66458E+12,19417.76,19425.62,19410.69,19412.8,69.70635
1.66458E+12,19412.26,19426.93,19412.22,19425.47,35.3924
1.66458E+12,19426.92,19445.43,19420.94,19436.86,60.78237
1.66458E+12,19436.6,19458.91,19435.72,19447.41,75.47926
1.66458E+12,19449.97,19460,19445.15,19453.67,35.82822
1.66458E+12,19453.67,19457.02,19450.82,19456.33,18.78919
1.66458E+12,19456.33,19456.45,19436.7,19444.3,43.23215
1.66458E+12,19443.02,19443.99,19435.51,19442.87,31.40116
1.66458E+12,19442.88,19447.04,19436.92,19447,47.36723
1.66458E+12,19447.03,19464.89,19445.84,19463.59,51.67585
1.66458E+12,19464.2,19464.2,19452.75,19456.29,37.28443
1.66458E+12,19456.28,19460,19454.68,19459.36,22.13126
1.66458E+12,19459.51,19462.94,19449,19452.03,50.31946
1.66458E+12,19452.03,19455.99,19450.46,19453.36,20.89721
1.66458E+12,19453.36,19459.89,19450.38,19458.72,22.70412
1.66458E+12,19458.73,19470.99,19457.8,19468.55,98.98504
1.66458E+12,19468.56,19472,19466.15,19472,22.65422
1.66458E+12,19472.22,19485.01,19471.39,19475.4,92.09159
1.66458E+12,19476.44,19479.34,19461.56,19466.27,46.08287
1.66458E+12,19466.01,19470.95,19463.22,19470.89,18.10434
1.66458E+12,19470.89,19471.98,19464.42,19467.45,39.17788
1.66458E+12,19466.95,19470.56,19464.3,19466.53,25.64403
1.66458E+12,19467.34,19468.12,19431.99,19435.38,127.93348
1.66458E+12,19434.37,19457.51,19434.1,19456.69,41.53135
1.66458E+12,19456.67,19471.96,19455.61,19463.96,68.94519
1.66458E+12,19463.51,19463.51,19449,19451.15,44.36606
1.66458E+12,19450.24,19456.59,19448.44,19453.34,20.43475
1.66458E+12,19452.85,19455.1,19430.53,19434.79,68.70018
1.66458E+12,19434.53,19434.53,19411.99,19415.45,44.70913
1.66458E+12,19414.41,19416.35,19375,19400.79,201.0956
1.66458E+12,19400.79,19418.53,19393.85,19402.27,75.81203
1.66458E+12,19401.74,19401.74,19392.96,19397.52,38.23752
1.66458E+12,19397.27,19413,19395.95,19408.79,57.91254
1.66458E+12,19409.42,19409.42,19373.33,19386.19,90.89196
1.66458E+12,19386.83,19397.7,19378.74,19396.87,61.85652
1.66458E+12,19396.86,19400,19387.81,19392.57,48.48986
1.66458E+12,19391.62,19401.66,19388.94,19390,83.1807
1.66458E+12,19390.01,19417.01,19388.94,19407.85,76.55124
1.66458E+12,19408.69,19414.32,19398.69,19401.66,57.48943
1.66458E+12,19401.13,19408.27,19393.23,19400.11,37.41873
1.66458E+12,19400.52,19401.32,19349.47,19359.19,203.38752
1.66459E+12,19359.19,19375.49,19354.53,19359.67,126.02421
1.66459E+12,19358.51,19380.77,19356.39,19374.01,66.31941
1.66459E+12,19374,19376.84,19354.68,19367.25,69.42855
1.66459E+12,19366.16,19373.38,19362.39,19363.25,36.3065
1.66459E+12,19363.25,19373.46,19356.72,19368.63,38.64059
1.66459E+12,19368.29,19385.85,19365.37,19382.07,38.09296
1.66459E+12,19382.07,19390.07,19372.5,19382.47,44.86156
1.66459E+12,19383.38,19389.02,19382.13,19384.18,25.91228
1.66459E+12,19384.85,19397.13,19380,19394.14,63.28908
1.66459E+12,19394.74,19399.99,19391.3,19399.45,38.38177
1.66459E+12,19399.46,19399.52,19385.81,19391.39,53.80819
1.66459E+12,19392.03,19392.62,19372.99,19378.57,59.16511
1.66459E+12,19377.13,19398.49,19376.88,19398.15,45.27114
1.66459E+12,19397.79,19398.5,19386.84,19392.48,33.56431
1.66459E+12,19391.88,19393.83,19387.39,19389.07,19.58699
1.66459E+12,19388.8,19403.49,19388.72,19403.1,84.82004
1.66459E+12,19402.91,19403.47,19385.65,19391.46,42.80567
1.66459E+12,19391.41,19394.51,19387.8,19388.77,22.93313
1.66459E+12,19388.63,19402.16,19388.34,19394.47,45.78245
1.66459E+12,19395.1,19402.25,19390.64,19396.64,33.20314
1.66459E+12,19396.64,19405.24,19391.68,19398.2,84.13768
1.66459E+12,19398.2,19399.03,19383.61,19386.7,47.99164
1.66459E+12,19385.64,19397.36,19385.58,19394.93,40.99187
1.66459E+12,19396.15,19402.49,19393.03,19399.42,36.21743
1.66459E+12,19399.42,19402.5,19393.72,19395.64,28.19395
1.66459E+12,19395.65,19399.06,19392.7,19395.85,32.99683
1.66459E+12,19397.29,19397.87,19384.08,19386.68,26.11931
1.66459E+12,19385.81,19394.77,19372.32,19373.73,92.85523
1.66459E+12,19374,19382.96,19367.61,19379.21,238.14991
1.66459E+12,19379.22,19387.17,19379.17,19385.94,48.25346
1.66459E+12,19385.95,19390.75,19381.07,19387.9,41.43384
1.66459E+12,19387.89,19403.51,19386.82,19399.88,113.7318
1.66459E+12,19399.85,19399.87,19387.35,19390,54.87298
1.66459E+12,19388,19393.8,19387.27,19389.06,41.09892
1.66459E+12,19389.35,19389.43,19376.51,19378.66,39.76652
1.66459E+12,19379.17,19381.15,19372,19373.81,46.41816
1.66459E+12,19373.81,19379.25,19372.95,19378.9,33.1636
1.66459E+12,19378.42,19380.02,19366.8,19376.21,57.23783
1.66459E+12,19375.37,19380.79,19374.59,19377.02,25.31909
1.66459E+12,19376.97,19394.75,19375.1,19391.8,37.19134
1.66459E+12,19392.6,19403,19385.75,19388.75,84.99033
1.66459E+12,19388.4,19396.92,19381.78,19393.86,44.48977
1.66459E+12,19394.62,19398.68,19390.4,19393.62,26.60797
1.66459E+12,19392.56,19398.52,19391.22,19396.71,30.82622
1.66459E+12,19397.07,19397.86,19392.45,19392.92,23.71703
1.66459E+12,19392.42,19393.68,19376.72,19379.82,65.27065
1.66459E+12,19379.81,19396,19379.81,19386.52,54.70473
1.66459E+12,19386,19403,19384.16,19396.67,72.6215
1.66459E+12,19397.45,19400.11,19386.42,19392.69,45.89727
1.66459E+12,19391.39,19394,19385.65,19389.3,27.00863
1.66459E+12,19389.3,19398.05,19385.24,19396.54,52.33085
1.66459E+12,19397.25,19416.86,19396.65,19404.59,68.44926
1.66459E+12,19405.83,19415,19404.01,19413.24,35.53439
1.66459E+12,19413.98,19415,19400.71,19408.16,28.76272
1.66459E+12,19407.56,19407.87,19395.1,19397.55,49.33849
1.66459E+12,19397.12,19397.98,19378.52,19378.91,59.98149
1.66459E+12,19379.44,19386.4,19378,19379.5,36.81133
1.66459E+12,19379.49,19381.97,19371.52,19372.92,73.12488
1.66459E+12,19372.55,19386.94,19372.55,19376.92,43.8724
1.66459E+12,19376.93,19395.74,19376.22,19391.35,70.95407
1.66459E+12,19392.67,19395.39,19388.63,19389.2,33.00719
1.66459E+12,19389.15,19394.81,19387.85,19393.99,34.26829
1.66459E+12,19393.06,19397.88,19391.44,19396.7,28.44598
1.66459E+12,19396.21,19401.08,19391.68,19401.07,44.22154
1.66459E+12,19401.14,19403.31,19389.31,19394.39,41.44285
1.66459E+12,19393.69,19397.69,19392.14,19396.81,16.43226
1.66459E+12,19397.11,19397.75,19384.62,19396.77,51.91142
1.66459E+12,19396.32,19397.17,19389.7,19394.5,27.41942
1.66459E+12,19394.49,19408.65,19393.88,19407.75,94.7358
1.66459E+12,19408.88,19420.13,19406.39,19419.43,46.93438
1.66459E+12,19419.59,19432.34,19413.79,19426.8,111.04263
1.66459E+12,19426.75,19426.75,19412.18,19417.44,91.04015
1.66459E+12,19417.95,19426.86,19417.38,19426.48,24.82218
1.66459E+12,19426.82,19430,19423.13,19429.93,26.17632
1.66459E+12,19429.35,19429.35,19423.29,19423.7,21.2245
1.66459E+12,19424.53,19426.35,19414.96,19423.49,51.25064
1.66459E+12,19422.77,19426,19413.82,19417.79,43.48307
1.66459E+12,19417.5,19421.69,19414.01,19417.62,26.25079
1.66459E+12,19417.33,19417.72,19409.37,19412.97,25.18124
1.66459E+12,19412.32,19413.99,19403,19409.75,52.98525
1.66459E+12,19409.85,19419,19409.75,19416.23,39.09678
1.66459E+12,19416.88,19422.55,19411.95,19420.01,46.23263
1.66459E+12,19420.01,19420.65,19410.32,19414.09,27.40784
1.66459E+12,19414.09,19416.9,19402.84,19406.52,43.23493
1.66459E+12,19406.52,19412.85,19404.79,19409.68,50.68244
1.66459E+12,19409.62,19416.78,19408.75,19412.85,57.43523
1.66459E+12,19413.32,19414.44,19408.64,19410.6,24.28643
1.66459E+12,19410.13,19419,19410.13,19415.64,34.53031
1.66459E+12,19416.35,19418.64,19400.9,19407.96,57.28072
1.66459E+12,19407.96,19410,19398.76,19399.83,101.454
1.66459E+12,19398.93,19404.42,19391.07,19398.74,63.44056
1.66459E+12,19398.9,19399.7,19389.86,19393.12,39.81032
1.66459E+12,19393.17,19395.79,19384.99,19387.07,29.32627
1.66459E+12,19386.27,19401,19385,19399.05,51.43668
1.66459E+12,19399.06,19403.47,19392.71,19402,35.32687
1.66459E+12,19402.5,19404.27,19398,19400.91,25.84773
1.66459E+12,19400.94,19404.91,19399.35,19400.66,45.91236
1.66459E+12,19401.08,19411.15,19400.82,19405.24,64.57132
1.66459E+12,19405.05,19411.28,19400.42,19409.71,59.23236
1.66459E+12,19409.48,19411.49,19398.66,19406.63,60.32531
1.66459E+12,19405.96,19407.63,19402.11,19405.77,28.98218
1.66459E+12,19405.42,19408,19403.36,19406.36,21.21238
1.66459E+12,19406.91,19415.08,19405.25,19411.83,53.98963
1.66459E+12,19412.99,19420.07,19411.06,19417.45,43.50921
1.66459E+12,19417.45,19425.6,19410.95,19413.76,72.91483
1.66459E+12,19413.76,19413.95,19409.72,19412.8,22.68915
1.66459E+12,19412.47,19414.64,19408.85,19412.23,31.39544
1.66459E+12,19412.37,19417.19,19409.61,19416.26,29.70553
1.66459E+12,19416.01,19416.13,19411.39,19412.86,23.14963
1.66459E+12,19412.96,19415.84,19410.29,19414.13,18.28935
1.66459E+12,19414.7,19426,19413.68,19424.18,41.23828
1.66459E+12,19424.09,19436.17,19423.62,19430.46,61.46354
1.66459E+12,19431.53,19431.54,19417.76,19420.49,70.54607
1.66459E+12,19419.4,19425,19417.95,19423,27.72786
1.66459E+12,19423,19429.04,19421.53,19426.91,16.72819
1.66459E+12,19426.91,19428.39,19421.95,19423.34,27.66721
1.66459E+12,19423.79,19425.47,19418.84,19424.33,55.13596
1.66459E+12,19424.33,19424.33,19405.51,19409.87,67.4116
1.66459E+12,19409.75,19411.25,19404.76,19407.21,26.10457
1.66459E+12,19407.53,19410.04,19405.14,19407.7,32.54989
1.66459E+12,19408,19408.82,19397.31,19401.01,41.09137
1.66459E+12,19401.44,19410.62,19396,19404.42,43.69815
1.66459E+12,19404.91,19406.59,19399.99,19400.46,17.09533
1.66459E+12,19400.46,19409,19400.24,19405.53,29.40355
1.66459E+12,19407.28,19414.73,19403.42,19412.28,27.42559
1.66459E+12,19413.38,19419.8,19411.24,19418,51.07156
1.66459E+12,19418.08,19421.75,19410.66,19419.81,22.02909
1.66459E+12,19420.12,19421.28,19416.81,19419.37,19.56926
1.66459E+12,19419.24,19428.8,19418.78,19427.51,38.6339
1.66459E+12,19428.37,19431,19424.32,19427.2,35.41263
1.66459E+12,19426.53,19429.36,19419.41,19425.24,35.54597
1.66459E+12,19425.22,19426.03,19418.11,19424.07,29.68621
1.66459E+12,19423.25,19427.27,19421.56,19424.28,22.82175
1.66459E+12,19424.26,19425.74,19419.28,19424.72,21.92054
1.66459E+12,19425.39,19425.39,19418,19420.15,23.08263
1.66459E+12,19419.32,19420.14,19411.89,19414.7,45.95416
