,Open,High,Low,Close,Volume_BTC,,,,,,
1.69E+12,29171.22,29171.22,29171.22,29171.22,0,1.69E+12,0,0,0,0,0
1.69E+12,29171.22,29171.22,29171.22,29171.22,0,1.69E+12,0,0,0,0,0
1.69E+12,29171.22,29171.22,29171.22,29171.22,0,1.69E+12,0,0,0,0,0
1.69E+12,29171.22,29171.22,29171.22,29171.22,0,1.69E+12,0,0,0,0,0
1.69E+12,29171.22,29171.22,29171.22,29171.22,0,1.69E+12,0,0,0,0,0
1.69E+12,29171.22,29171.22,29171.22,29171.22,0,1.69E+12,0,0,0,0,0
1.69E+12,29135.89,29135.89,29135.89,29135.89,0.0005,1.69E+12,14.567945,1,0,0,0
1.69E+12,29135.89,29135.89,29135.89,29135.89,0,1.69E+12,0,0,0,0,0
1.69E+12,29135.89,29135.89,29135.89,29135.89,0,1.69E+12,0,0,0,0,0
1.69E+12,29135.89,29135.89,29135.89,29135.89,0,1.69E+12,0,0,0,0,0
1.69E+12,29135.89,29135.89,29135.89,29135.89,0,1.69E+12,0,0,0,0,0
1.69E+12,29135.89,29135.89,29135.89,29135.89,0,1.69E+12,0,0,0,0,0
1.69E+12,29135.89,29135.89,29135.89,29135.89,0,1.69E+12,0,0,0,0,0
1.69E+12,29135.89,29135.89,29135.89,29135.89,0,1.69E+12,0,0,0,0,0
1.69E+12,29135.89,29135.89,29135.89,29135.89,0,1.69E+12,0,0,0,0,0
1.69E+12,29171.12,29171.23,29171.12,29171.22,0.16128,1.69E+12,4704.728808,8,0.05713,1666.546142,0
1.69E+12,29171.24,29171.24,29171.23,29171.23,0.204,1.69E+12,5950.93121,9,0.204,5950.93121,0
1.69E+12,29171.23,29171.23,29171.23,29171.23,0,1.69E+12,0,0,0,0,0
1.69E+12,29171.23,29171.23,29171.23,29171.23,0,1.69E+12,0,0,0,0,0
1.69E+12,29171.23,29171.23,29171.23,29171.23,0,1.69E+12,0,0,0,0,0
1.69E+12,29171.23,29171.23,29171.23,29171.23,0,1.69E+12,0,0,0,0,0
1.69E+12,29159.48,29159.48,29159.48,29159.48,0.001,1.69E+12,29.15948,1,0,0,0
1.69E+12,29171.24,29171.24,29158.6,29158.6,0.0139,1.69E+12,405.392388,2,0.00695,202.740118,0
1.69E+12,29171.24,29178.36,29171.24,29178.36,0.26768,1.69E+12,7809.259414,7,0.26073,7606.517767,0
1.69E+12,29178.46,29178.46,29171.46,29171.46,0.10695,1.69E+12,3120.577979,5,0.09668,2820.963845,0
1.69E+12,29171.46,29171.46,29171.46,29171.46,0.029,1.69E+12,845.97234,1,0,0,0
1.69E+12,29171.46,29171.46,29171.46,29171.46,0,1.69E+12,0,0,0,0,0
1.69E+12,29171.46,29171.46,29171.46,29171.46,0,1.69E+12,0,0,0,0,0
1.69E+12,29171.46,29171.46,29171.46,29171.46,0,1.69E+12,0,0,0,0,0
1.69E+12,29171.46,29171.46,29171.46,29171.46,0,1.69E+12,0,0,0,0,0
1.69E+12,29171.46,29171.46,29171.46,29171.46,0,1.69E+12,0,0,0,0,0
1.69E+12,29171.46,29171.46,29171.46,29171.46,0,1.69E+12,0,0,0,0,0
1.69E+12,29171.46,29171.46,29171.46,29171.46,0,1.69E+12,0,0,0,0,0
1.69E+12,29171.46,29171.46,29171.46,29171.46,0,1.69E+12,0,0,0,0,0
1.69E+12,29171.46,29171.46,29171.46,29171.46,0,1.69E+12,0,0,0,0,0
1.69E+12,29182.29,29182.29,29182.29,29182.29,0.07716,1.69E+12,2251.705496,1,0,0,0
1.69E+12,29182.18,29182.18,29182.18,29182.18,0.02384,1.69E+12,695.7031712,1,0,0,0
1.69E+12,29182.18,29182.18,29182.18,29182.18,0,1.69E+12,0,0,0,0,0
1.69E+12,29182.18,29182.18,29182.18,29182.18,0,1.69E+12,0,0,0,0,0
1.69E+12,29182.06,29182.06,29182.06,29182.06,0.00695,1.69E+12,202.815317,1,0.00695,202.815317,0
1.69E+12,29182.06,29182.06,29182.06,29182.06,0,1.69E+12,0,0,0,0,0
1.69E+12,29182.06,29182.06,29182.06,29182.06,0,1.69E+12,0,0,0,0,0
1.69E+12,29182.06,29182.06,29182.06,29182.06,0,1.69E+12,0,0,0,0,0
1.69E+12,29182.06,29182.06,29182.06,29182.06,0,1.69E+12,0,0,0,0,0
1.69E+12,29182.06,29182.06,29182.06,29182.06,0,1.69E+12,0,0,0,0,0
1.69E+12,29182.06,29182.06,29182.06,29182.06,0,1.69E+12,0,0,0,0,0
1.69E+12,29182.06,29182.06,29182.06,29182.06,0.00695,1.69E+12,202.815317,1,0,0,0
1.69E+12,29182.06,29182.06,29182.06,29182.06,0,1.69E+12,0,0,0,0,0
1.69E+12,29182.06,29182.06,29182.06,29182.06,0,1.69E+12,0,0,0,0,0
1.69E+12,29182.06,29182.06,29182.06,29182.06,0,1.69E+12,0,0,0,0,0
1.69E+12,29182.06,29182.06,29182.06,29182.06,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0.00065,1.69E+12,18.9363525,1,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29132.85,29132.85,29132.85,29132.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29167.97,29167.97,29167.97,29167.97,0.0034,1.69E+12,99.171098,1,0.0034,99.171098,0
1.69E+12,29167.97,29167.97,29167.97,29167.97,0,1.69E+12,0,0,0,0,0
1.69E+12,29167.97,29167.97,29167.97,29167.97,0,1.69E+12,0,0,0,0,0
1.69E+12,29153.2,29153.2,29153.2,29153.2,0.0034,1.69E+12,99.12088,1,0,0,0
1.69E+12,29153.2,29153.2,29153.2,29153.2,0,1.69E+12,0,0,0,0,0
1.69E+12,29130.85,29130.85,29130.85,29130.85,0.00372,1.69E+12,108.366762,1,0,0,0
1.69E+12,29130.85,29130.85,29130.85,29130.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29130.85,29130.85,29130.85,29130.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29130.85,29130.85,29130.85,29130.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29130.85,29130.85,29130.85,29130.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29130.85,29130.85,29130.85,29130.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29130.85,29130.85,29130.85,29130.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29130.85,29130.85,29130.85,29130.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29130.85,29130.85,29130.85,29130.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29130.85,29130.85,29130.85,29130.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29130.85,29130.85,29130.85,29130.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29130.85,29130.85,29130.85,29130.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29130.85,29130.85,29130.85,29130.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29130.85,29130.85,29130.85,29130.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29130.85,29130.85,29130.85,29130.85,0,1.69E+12,0,0,0,0,0
1.69E+12,29137.9,29137.9,29133.42,29133.42,0.054,1.69E+12,1573.43762,3,0,0,0
1.69E+12,29133.42,29133.42,29133.42,29133.42,0,1.69E+12,0,0,0,0,0
1.69E+12,29156,29156,29156,29156,0.1,1.69E+12,2915.6,5,0,0,0
1.69E+12,29116.01,29116.01,29116.01,29116.01,0.04362,1.69E+12,1270.040356,1,0.04362,1270.040356,0
1.69E+12,29116.01,29116.01,29116.01,29116.01,0,1.69E+12,0,0,0,0,0
1.69E+12,29138.01,29138.01,29138,29138,0.2,1.69E+12,5827.601,4,0,0,0
1.69E+12,29138,29138,29138,29138,0,1.69E+12,0,0,0,0,0
1.69E+12,29116.02,29116.02,29116.02,29116.02,0.00638,1.69E+12,185.7602076,1,0.00638,185.7602076,0
1.69E+12,29116.02,29116.02,29116.02,29116.02,0,1.69E+12,0,0,0,0,0
1.69E+12,29116.02,29116.02,29113.93,29113.93,0.33224,1.69E+12,9673.501352,9,0,0,0
1.69E+12,29113.93,29113.93,29113.93,29113.93,0,1.69E+12,0,0,0,0,0
1.69E+12,29113.93,29113.93,29113.93,29113.93,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0.05,1.69E+12,1454.4395,2,0.05,1454.4395,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
