,Open,High,Low,Close,Volume_BTC,,,,,,
1.67855E+12,20415.18,20415.18,20415.18,20415.18,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20291.27,20291.27,20255.43,20285.42,0.07131,1.67855E+12,1446.25736,5,0.06146,1246.388351,0
1.67855E+12,20285.42,20285.42,20285.42,20285.42,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20285.42,20285.42,20285.42,20285.42,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20285.42,20285.42,20285.42,20285.42,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20285.42,20285.42,20285.42,20285.42,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20285.42,20285.42,20285.42,20285.42,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20285.42,20285.42,20285.42,20285.42,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20285.42,20285.42,20285.42,20285.42,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20285.42,20285.42,20285.42,20285.42,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20285.42,20285.42,20285.42,20285.42,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20285.42,20285.42,20285.42,20285.42,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20285.42,20285.42,20285.42,20285.42,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20285.42,20285.42,20285.42,20285.42,0.00133,1.67855E+12,26.9796086,1,0.00133,26.9796086,0
1.67855E+12,20285.42,20285.42,20285.42,20285.42,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20285.42,20285.42,20285.42,20285.42,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20285.42,20285.42,20285.42,20285.42,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20285.42,20285.42,20285.42,20285.42,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20285.42,20285.42,20285.42,20285.42,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20415.68,20415.69,20415.68,20415.69,0.10016,1.67855E+12,2044.834736,2,0.10016,2044.834736,0
1.67855E+12,20415.69,20415.69,20415.69,20415.69,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20415.69,20415.69,20415.69,20415.69,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20415.69,20415.69,20415.69,20415.69,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20415.69,20415.69,20415.69,20415.69,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20415.69,20415.69,20415.69,20415.69,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20415.69,20415.69,20415.69,20415.69,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20415.69,20415.69,20415.69,20415.69,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20415.69,20415.69,20415.69,20415.69,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20415.69,20415.69,20415.69,20415.69,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20415.69,20415.69,20415.69,20415.69,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20354.98,20354.98,20354.98,20354.98,0.0098,1.67855E+12,199.478804,2,0,0,0
1.67855E+12,20354.98,20354.98,20354.98,20354.98,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20354.98,20354.98,20354.98,20354.98,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20354.98,20354.98,20354.98,20354.98,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20354.98,20354.98,20354.98,20354.98,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20354.98,20354.98,20354.98,20354.98,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20354.98,20354.98,20354.98,20354.98,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20354.98,20354.98,20354.98,20354.98,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20354.98,20354.98,20354.98,20354.98,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20354.98,20354.98,20354.98,20354.98,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20354.98,20354.98,20354.98,20354.98,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20354.98,20354.98,20354.98,20354.98,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20354.98,20354.98,20354.98,20354.98,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20354.98,20354.98,20354.98,20354.98,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20301,20301,20301,20301,0.00324,1.67855E+12,65.77524,1,0,0,0
1.67855E+12,20301,20301,20301,20301,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20301,20301,20301,20301,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20301,20301,20301,20301,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20411.13,20411.16,20411.13,20411.15,0.68066,1.67855E+12,13893.05081,10,0.13747,2805.918139,0
1.67855E+12,20411.15,20411.15,20411.15,20411.15,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20411.15,20411.15,20411.15,20411.15,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20411.15,20411.15,20411.15,20411.15,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20411.15,20411.15,20411.15,20411.15,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20411.15,20411.15,20411.15,20411.15,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20411.15,20411.15,20411.15,20411.15,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20411.15,20411.15,20411.15,20411.15,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20411.15,20411.15,20411.15,20411.15,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20411.15,20411.15,20411.15,20411.15,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20411.15,20411.15,20411.15,20411.15,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20411.15,20411.15,20411.15,20411.15,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20411.15,20411.15,20411.15,20411.15,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20411.15,20411.15,20411.15,20411.15,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20411.15,20411.15,20411.15,20411.15,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20411.15,20411.15,20411.14,20411.15,0.03667,1.67855E+12,748.4767725,9,0.03667,748.4767725,0
1.67855E+12,20411.15,20411.15,20411.15,20411.15,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20411.15,20411.15,20411.15,20411.15,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20411.16,20411.16,20411.16,20411.16,0.0098,1.67855E+12,200.029368,1,0,0,0
1.67855E+12,20436.46,20436.46,20431.83,20431.83,0.02683,1.67855E+12,548.2170199,2,0.02683,548.2170199,0
1.67855E+12,20431.83,20431.83,20431.83,20431.83,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20431.83,20431.83,20431.83,20431.83,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20431.83,20431.83,20431.83,20431.83,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20168.91,20168.91,20168.91,20168.91,0.00499,1.67855E+12,100.6428609,1,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0.00494,1.67855E+12,100.5017312,1,0.00494,100.5017312,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
