,Open,High,Low,Close,Volume_BTC
1.67253E+12,16534.83,16537.13,16531.34,16536.4,53.11207
1.67253E+12,16535.97,16537.07,16531.18,16532.84,40.82898
1.67253E+12,16532.5,16533.93,16526.98,16528.64,53.78188
1.67253E+12,16529.14,16529.98,16524.04,16526.45,74.05419
1.67253E+12,16526.46,16528.83,16519.95,16527.71,86.41138
1.67253E+12,16527.7,16530.49,16526.26,16529.03,33.378
1.67253E+12,16529.03,16533,16526.47,16528.09,63.61325
1.67253E+12,16528.25,16532,16526.84,16526.85,106.62745
1.67253E+12,16527.15,16527.54,16521.35,16522.02,37.85545
1.67253E+12,16522.07,16522.42,16516.6,16519.53,43.3195
1.67253E+12,16519.74,16523.99,16515.77,16518.37,68.78738
1.67253E+12,16518.23,16520.63,16517.3,16519.48,18.25724
1.67253E+12,16519.47,16519.81,16514.16,16515.37,22.90136
1.67253E+12,16515.37,16518,16514,16517.62,27.48559
1.67253E+12,16517.92,16518.93,16512.64,16514.29,36.62519
1.67253E+12,16514.09,16519.5,16512.66,16514.01,65.84228
1.67253E+12,16514,16516.16,16510.76,16512.4,66.96624
1.67253E+12,16512,16516.14,16510.96,16515.36,21.86852
1.67253E+12,16515.11,16523.84,16514.55,16523.31,59.85649
1.67253E+12,16523.53,16529.86,16522.34,16527.02,63.82358
1.67253E+12,16527.21,16529.95,16526.66,16529.23,28.79643
1.67253E+12,16529.07,16531.98,16528.58,16531.44,32.62096
1.67253E+12,16531.2,16532.5,16522.97,16526.42,63.09263
1.67253E+12,16526.44,16533.02,16526.15,16532.03,35.02205
1.67253E+12,16531.72,16532.61,16526.78,16527.96,29.73874
1.67253E+12,16527.96,16533.72,16527.67,16533.7,32.24454
1.67253E+12,16533.45,16536.24,16530.81,16534.67,75.12975
1.67253E+12,16534.31,16537.7,16533.96,16536.76,22.61135
1.67253E+12,16536.71,16537.7,16535.29,16537,35.335
1.67253E+12,16537.18,16537.9,16534.69,16536.32,31.41556
1.67253E+12,16536.31,16536.83,16528.67,16530.14,58.74967
1.67253E+12,16529.77,16533.1,16528.46,16529.61,22.3968
1.67253E+12,16529.6,16529.94,16523.56,16524.34,37.20183
1.67253E+12,16524.28,16526.29,16522.84,16523.79,26.67288
1.67253E+12,16524.33,16525.89,16513.91,16519.35,60.33118
1.67253E+12,16519.52,16522,16513.78,16517.18,63.51955
1.67253E+12,16516.72,16519,16508.5,16513.42,88.74684
1.67253E+12,16512.78,16512.78,16501,16507.55,95.80629
1.67253E+12,16507.55,16513.99,16506,16510.85,67.62278
1.67253E+12,16510.84,16519.26,16510.35,16516.98,59.0003
1.67253E+12,16517,16517.8,16514.84,16516.79,17.39217
1.67253E+12,16516.5,16517.48,16505.17,16506.38,98.27862
1.67253E+12,16506.37,16508.83,16504.6,16506.85,28.00601
1.67253E+12,16507.08,16509.72,16506.51,16508.76,20.06386
1.67253E+12,16508.89,16515,16507.78,16508.08,61.94344
1.67253E+12,16508.07,16512.9,16507.65,16511.38,37.4466
1.67253E+12,16511.77,16516.25,16511.38,16514.78,65.3317
1.67253E+12,16514.63,16522.61,16513.01,16521,61.23296
1.67253E+12,16521.1,16526.49,16520.69,16525.62,42.1046
1.67253E+12,16525.54,16527.98,16521.61,16522.52,57.30573
1.67253E+12,16522.53,16524.04,16519.21,16520.49,31.35682
1.67253E+12,16520.44,16521.95,16519.65,16521.63,17.16627
1.67253E+12,16521.63,16522.24,16520.67,16521.14,14.33051
1.67253E+12,16521.17,16522,16520.15,16521.3,27.6422
1.67253E+12,16521.61,16526.3,16521.32,16523.97,50.90582
1.67253E+12,16523.94,16524.71,16522.99,16523.95,10.72783
1.67253E+12,16523.95,16526.96,16523.24,16525.56,18.57933
1.67253E+12,16525.78,16529,16524.76,16525.62,56.8979
1.67253E+12,16525.63,16526.18,16521.67,16522.89,37.67903
1.67253E+12,16522.86,16523.25,16521.19,16521.49,25.50071
1.67253E+12,16521.95,16522.36,16518.38,16520.8,63.52128
1.67253E+12,16521.03,16524.98,16520.46,16524.11,51.33309
1.67253E+12,16524.11,16529.5,16522.9,16527.85,52.91701
1.67253E+12,16527.55,16530.63,16525.82,16526.74,54.53418
1.67254E+12,16526.64,16526.79,16521.18,16523.17,54.23605
1.67254E+12,16523.39,16525.47,16522.96,16524.26,13.87556
1.67254E+12,16524.36,16527.54,16524.36,16526.53,37.3874
1.67254E+12,16526.43,16529.42,16525.92,16528.91,20.43364
1.67254E+12,16528.9,16529.37,16527.16,16527.81,24.25775
1.67254E+12,16527.8,16533.15,16525.12,16531.7,66.04361
1.67254E+12,16531.7,16534.37,16531.65,16532.93,33.15378
1.67254E+12,16532.79,16533.63,16531.72,16532.03,14.01748
1.67254E+12,16532.02,16532.5,16527.77,16529.2,33.72596
1.67254E+12,16529.3,16534.19,16528.78,16533.65,27.47386
1.67254E+12,16533.31,16533.84,16529.57,16530.7,29.5689
1.67254E+12,16530.7,16533.27,16530.17,16530.9,24.11838
1.67254E+12,16530.68,16531.73,16526.01,16527.95,28.07839
1.67254E+12,16528.02,16529.39,16526.5,16528.78,27.79022
1.67254E+12,16528.99,16530.99,16528.05,16530.67,20.82946
1.67254E+12,16530.58,16531.09,16529.77,16530.56,16.93719
1.67254E+12,16530.6,16532.21,16528.8,16530.4,40.01721
1.67254E+12,16530.37,16530.91,16526.24,16527.84,34.34181
1.67254E+12,16527.85,16528.45,16526.71,16527.26,14.70805
1.67254E+12,16527.36,16527.47,16523.84,16525.62,36.76681
1.67254E+12,16525.37,16531.04,16524.74,16529.69,38.04331
1.67254E+12,16529.75,16529.99,16526.85,16527.21,23.05697
1.67254E+12,16527.32,16529.44,16526.33,16528.69,28.07729
1.67254E+12,16528.68,16528.8,16524.89,16526,27.76175
1.67254E+12,16525.67,16527.45,16524.53,16526.82,26.68702
1.67254E+12,16526.85,16528,16525.8,16526.74,19.35833
1.67254E+12,16526.74,16527.15,16525.04,16525.37,14.60963
1.67254E+12,16525.65,16526.81,16523.26,16524.74,49.45667
1.67254E+12,16524.86,16526.39,16524.03,16525.26,10.14445
1.67254E+12,16525.15,16525.55,16523.87,16524.86,11.40799
1.67254E+12,16524.86,16525.06,16523.27,16523.99,18.35026
1.67254E+12,16524.19,16528.16,16523.2,16527.76,34.5843
1.67254E+12,16527.76,16532.48,16527.25,16527.8,47.22597
1.67254E+12,16527.83,16529.04,16526.4,16528.98,33.49807
1.67254E+12,16528.91,16529.88,16526.28,16527.1,30.34577
1.67254E+12,16526.57,16527.86,16526,16527.37,16.81978
1.67254E+12,16527.29,16534.37,16526.33,16532.1,62.20517
1.67254E+12,16531.94,16535.08,16531.94,16534.77,43.33648
1.67254E+12,16534.76,16534.94,16531.77,16533.71,33.02432
1.67254E+12,16533.97,16534.41,16530.84,16531.94,23.934
1.67254E+12,16531.84,16533.55,16529.78,16532,25.71642
1.67254E+12,16532.09,16534.63,16530.11,16533.59,24.66695
1.67254E+12,16533.59,16535.78,16532.53,16535.02,27.49409
1.67254E+12,16534.83,16535.82,16533.44,16534.02,25.79955
1.67254E+12,16533.92,16534.8,16532.79,16534.12,22.32845
1.67254E+12,16534.2,16539.5,16533.7,16538.91,35.9803
1.67254E+12,16538.99,16539.4,16536.77,16539.4,45.4033
1.67254E+12,16539.5,16540.46,16535.86,16536.07,66.99039
1.67254E+12,16536.02,16536.02,16533.13,16533.46,30.82586
1.67254E+12,16533.45,16537.59,16533.06,16536.47,29.57133
1.67254E+12,16536.42,16538.71,16536.41,16537.64,12.51585
1.67254E+12,16537.59,16539.77,16537.18,16539.58,55.39628
1.67254E+12,16539.46,16544.37,16538.93,16542.99,74.1609
1.67254E+12,16543,16547.43,16542.46,16545.43,111.5982
1.67254E+12,16545.48,16547.69,16541.01,16544.24,45.984
1.67254E+12,16544.3,16545.31,16541.72,16543.61,23.25666
1.67254E+12,16543.48,16543.58,16533.88,16534.37,66.47952
1.67254E+12,16534.38,16539.49,16532.76,16538.25,46.89236
1.67254E+12,16538.25,16539.12,16534.87,16536.43,19.42496
1.67254E+12,16536.58,16537.3,16532.84,16533.29,20.01808
1.67254E+12,16533.36,16534.85,16532.28,16534.05,17.65152
1.67254E+12,16533.96,16534.9,16532.52,16533.89,22.20755
1.67254E+12,16533.91,16535.14,16533.76,16534.02,24.09137
1.67254E+12,16534.24,16535.02,16531.89,16534.38,15.80507
1.67254E+12,16534.56,16536.16,16533.73,16535.11,18.9545
1.67254E+12,16535.12,16535.96,16534.54,16535.11,16.22855
1.67254E+12,16535.14,16535.79,16533,16533.62,21.72443
1.67254E+12,16533.56,16535,16532.6,16534.41,19.84209
1.67254E+12,16534.41,16534.83,16532.5,16534.04,25.64825
1.67254E+12,16533.82,16534.35,16531.84,16533.78,29.59935
1.67254E+12,16533.32,16544.37,16532.94,16542.03,140.3233
1.67254E+12,16541.5,16544.78,16539.68,16544.78,61.5603
1.67254E+12,16544.77,16546.55,16543.62,16545.06,32.33722
1.67254E+12,16545.02,16545.48,16542.53,16544.45,26.61795
1.67254E+12,16543.57,16543.77,16542.14,16543.22,17.51438
1.67254E+12,16543.27,16544.91,16541.85,16544.45,23.19293
1.67254E+12,16544.54,16544.82,16543.18,16543.95,19.04139
1.67254E+12,16544,16545.3,16538.55,16540.3,55.01884
1.67254E+12,16540.34,16542.1,16539.21,16540.11,45.25509
1.67254E+12,16540.29,16541.15,16539.3,16540.3,27.14262
1.67254E+12,16540.44,16541.4,16538.41,16539.69,41.61885
1.67254E+12,16539.79,16540.57,16538.57,16539.59,17.0144
1.67254E+12,16539.54,16545.55,16539.24,16545.55,30.50681
1.67254E+12,16545.49,16545.55,16541.81,16542.09,23.32666
1.67254E+12,16542.17,16544.5,16540.9,16543.71,18.80965
1.67254E+12,16543.67,16547.32,16542.15,16544.77,50.09525
1.67254E+12,16544.84,16547.42,16543.44,16545.13,33.15362
1.67254E+12,16545.13,16549.09,16544.08,16547.72,45.89123
1.67254E+12,16547.41,16550,16546.31,16549.63,40.77717
1.67254E+12,16549.63,16551.44,16548.08,16549.32,32.46841
1.67254E+12,16549.32,16551.71,16547.67,16550.94,26.86871
1.67254E+12,16550.55,16552.81,16546.39,16547.85,45.35202
1.67254E+12,16547.88,16548.25,16544.3,16545.45,21.43699
1.67254E+12,16545.81,16546.32,16543.55,16544.23,12.80617
1.67254E+12,16543.95,16546,16543.24,16543.46,16.68872
1.67254E+12,16543.82,16544.43,16540.41,16541.51,40.6638
1.67254E+12,16541.63,16542.13,16536.96,16538.08,51.63558
1.67254E+12,16538.65,16539.41,16535.45,16535.96,46.74971
1.67254E+12,16536.09,16536.96,16534.7,16535.36,19.62904
1.67254E+12,16535.41,16535.85,16533.96,16534.6,19.08242
1.67254E+12,16534.6,16534.79,16530.64,16530.7,34.51078
1.67254E+12,16530.7,16536.64,16530.61,16535.31,45.0408
1.67254E+12,16535.18,16538.45,16534.42,16537.6,29.93032
1.67254E+12,16537.94,16538.88,16537.05,16537.5,20.80339
1.67254E+12,16537.5,16538.15,16536.69,16537.39,14.8808
1.67254E+12,16537.45,16538.44,16537.1,16537.83,14.63657
1.67254E+12,16537.78,16537.97,16536.5,16536.87,24.59561
1.67254E+12,16536.68,16538.64,16536.68,16538.5,25.83524
1.67254E+12,16538.15,16539.35,16537.25,16537.72,23.8556
1.67254E+12,16537.98,16539.36,16537.86,16538.66,12.59851
1.67254E+12,16538.66,16539.06,16536.95,16537.76,25.35872
1.67254E+12,16537.92,16538.92,16537.18,16538.07,12.10197
1.67254E+12,16538.07,16539.99,16537.91,16539.36,34.89027
1.67254E+12,16539.35,16539.64,16538.33,16539.18,12.68047
1.67254E+12,16539.23,16539.99,16538.48,16539.22,37.58378
1.67254E+12,16539.22,16540.39,16539.22,16539.99,37.88487
1.67254E+12,16539.88,16540.04,16524.46,16526.2,195.52456
1.67254E+12,16526.05,16527.48,16519.48,16526.69,145.71288
1.67254E+12,16526.69,16526.99,16515.94,16519.83,72.03352
1.67254E+12,16519.69,16523.6,16518.48,16522.58,88.34194
1.67254E+12,16522.39,16525.93,16520.72,16521.59,56.48827
